true_direction,pred_rag,pred_no_rag,conviction_rag,conviction_no_rag,conviction_delta,cosine_sim_max,correct_rag,correct_no_rag
NEUTRAL,NEUTRAL,CE,0.3,0.3478,-0.04780000000000001,0.8249393945601655,True,False
NEUTRAL,NEUTRAL,CE,0.3,0.359,-0.059,0.8374999094708401,True,False
CE,NEUTRAL,NEUTRAL,0.3,0.3,0.0,0.6643464708868146,False,False
PE,NEUTRAL,NEUTRAL,0.3,0.3,0.0,0.7014982968828694,False,False
CE,NEUTRAL,CE,0.3,0.3597,-0.05970000000000003,0.6510811957873387,False,True
CE,NEUTRAL,CE,0.3,0.359,-0.059,0.8340228619556594,False,True
NEUTRAL,NEUTRAL,CE,0.3,0.3594,-0.05940000000000001,0.8364525067373768,True,False
PE,NEUTRAL,CE,0.3,0.3533,-0.053300000000000014,0.7561996628362843,False,False
PE,NEUTRAL,NEUTRAL,0.3,0.3,0.0,0.4946637070349092,False,False
PE,NEUTRAL,CE,0.3,0.3619,-0.06190000000000001,0.6189500872442287,False,False
NEUTRAL,NEUTRAL,NEUTRAL,0.3,0.3,0.0,0.8341542108918037,True,True
PE,NEUTRAL,NEUTRAL,0.3,0.3,0.0,0.7275911780716987,False,False
NEUTRAL,NEUTRAL,NEUTRAL,0.3,0.3,0.0,0.6837129581855571,True,True
NEUTRAL,NEUTRAL,NEUTRAL,0.3,0.3,0.0,0.8116407863134244,True,True
PE,NEUTRAL,CE,0.3,0.3413,-0.0413,0.5984803590706543,False,False
CE,NEUTRAL,NEUTRAL,0.3,0.3,0.0,0.8473166747966258,False,False
NEUTRAL,NEUTRAL,NEUTRAL,0.3,0.3,0.0,0.8369384697206045,True,True
CE,NEUTRAL,CE,0.3,0.3422,-0.042200000000000015,0.7747542460941177,False,True
PE,NEUTRAL,CE,0.3,0.3418,-0.041800000000000004,0.49812132769736545,False,False
NEUTRAL,NEUTRAL,CE,0.3,0.3404,-0.04039999999999999,0.3426335120460227,True,False
PE,NEUTRAL,NEUTRAL,0.3,0.3,0.0,0.7004509389727205,False,False
NEUTRAL,NEUTRAL,NEUTRAL,0.3,0.3,0.0,0.5494138314162438,True,True
PE,NEUTRAL,CE,0.3,0.3442,-0.04420000000000002,0.9268804344214164,False,False
NEUTRAL,NEUTRAL,CE,0.3,0.349,-0.04899999999999999,0.8649594089640921,True,False
